Key Value id name level Width(0
historic rune_stone 55 landmark 4 0
historic memorial 55 landmark 4 0
historic farm 13 Cultivated_Crops 0 0
historic fort 21 forts 4 0
historic manor 15 building 4 0
historic monument 55 landmark 4 0
historic castle 55 landmark 4 0
incline Number 31 roads 3 3
intermittent yes 1 Open_Water 0 0
junction roundabout 89 junction 3 3
landuse military 92 military_land 1 0
landuse meadow 11 Grassland/Herbaceous 0 0
landuse basin 4 Developed/Low_Intensity 0 0
landuse reservoir 1 Open_Water 0 0
landuse retail 52 plaza 1 0
landuse landfill 3 Developed/Open_Space 0 0
landuse quarry 93 mineral 2 0
landuse industrial 248 land_industrial 1 0
landuse salt_pond 1 Open_Water 0 0
landuse residential 94 land_residential 1 0
landuse railway 110 railway 3 1.5
landuse plant_nursery 13 Cultivated_Crops 0 0
landuse orchard 13 Cultivated_Crops 0 0
landuse allotments 4 Developed/Low_Intensity 0 0
landuse cemetery 19 cemeteries 1 0
landuse greenhouse_horticulture 13 Cultivated_Crops 0 0
landuse vineyard 13 Cultivated_Crops 0 0
landuse greenfield 11 Grassland/Herbaceous 0 0
landuse farm 13 Cultivated_Crops 0 0
landuse farmland 13 Cultivated_Crops 0 0
landuse grass 11 Grassland/Herbaceous 0 0
landuse farmyard 13 Cultivated_Crops 0 0
landuse brownfield 3 Developed/Open_Space 0 0
landuse commercial 91 commercial_area 1 0
landuse garages 43 garage 4 0
landuse village_green 13 Cultivated_Crops 0 0
landuse pasture 13 Cultivated_Crops 0 0
landuse construction 3 Developed/Open_Space 0 0
landuse recreation_ground 28 parks 1 0
landuse forest 9 Mixed_Forest 0 0
leisure dog_park 28 parks 1 0
leisure playground 249 playground 1 0
leisure swimming_pool 96 swimming_pool 4 0
leisure park 28 parks 1 0
leisure marina 26 marinas 3 0
leisure nature_reserve 28 parks 1 0
leisure water_park 28 parks 1 0
leisure stadium 95 sports_field 2 0
leisure track 95 sports_field 2 1
leisure garden 28 parks 1 0
leisure golf_course 22 golf_courses 1 0
leisure sports_centre 95 sports_field 2 0
leisure beach_resort 6 Barren_Land/Beach 0 0
leisure pitch 95 sports_field 2 0
leisure golf_pin 22 golf_courses 1 0
leisure dance 38 club 4 0
leisure fishing 1 Open_Water 0 0
leisure firepit 28 parks 1 0
leisure social_club 38 club 4 0
leisure slipway 26 marinas 3 0
lock yes 1 Open_Water 0 5
man_made pier 29 piers 4 25
man_made flagpole 98 flag 4 0
man_made mineshaft 99 mineshaft 2 0
man_made tower 20 towers 4 0
man_made crane 97 crane 4 0
man_made breakwater 1 Open_Water 0 10
man_made water_tower 245 water_towers 4 0
man_made storage_tank 101 storage_tank 4 0
man_made cutline 87 path 3 5
man_made pipeline 100 pipeline 4 3
man_made adit 93 mineral 2 0
man_made chimney 20 towers 4 0
man_made beacon 25 lighthouses 4 0
man_made monitoring_station 15 building 4 0
man_made groyne 87 path 3 4
man_made lighthouse 25 lighthouses 4 0
man_made works 75 industrial_building 4 0
man_made windmill 102 windmill 4 0
military bunker 21 forts 4 0
military barracks 21 forts 4 0
military naval_base 103 naval_base 2 0
military airfield 92 military_land 1 0
military checkpoint 92 military_land 1 0
military range 92 military_land 1 0
military danger_area 92 military_land 1 0
mooring no 26 marinas 3 5
mooring yes 26 marinas 3 0
mooring private 26 marinas 3 5
mtb:scale 0 87 path 3 5
mtb:scale 1 87 path 3 5
mtb:scale 4 87 path 3 5
mtb:scale 3 87 path 3 5
mtb:scale 2 87 path 3 5
